country,source,title,date_iso,summary,url,category,status
Tanzania,The Citizen,Prof Janabi urges African governments to invest in youth for a healthier  self-reliant continent,2025-10-25,The World Health Organization (WHO) Africa has urged African governments to invest substantially in young people as a key pillar for building a healthier  self-reliant  and resilient continent,https://www.thecitizen.co.tz/tanzania/news/national/prof-janabi-urges-african-governments-to-invest-in-youth-for-a-healthier-self-reliant-continent-5241414,,
Tanzania,The Citizen,Tanzanian media chiefs vow neutrality amidst election tensions,2025-10-25,The forum  which included the heads of major broadcasting and print outlets  stressed the critical need for responsible journalism in an increasingly charged digital environment  which they...,https://www.thecitizen.co.tz/tanzania/news/national/tanzanian-media-chiefs-vow-neutrality-amidst-election-tensions-5244172,,
Tanzania,The Citizen,Airtel Africa foundation joins Forces with ITU  RISA and Cisco to empower Rwanda’s youth with digital skills,2025-10-25,Under the initiative  ITU will deliver digital skills training content to the DTCs  alongside other regional capacity-building activities.,https://www.thecitizen.co.tz/tanzania/business/airtel-africa-foundation-joins-forces-with-itu-risa-and-cisco-to-empower-rwanda-s-youth-with-digital-skills-5244296,,
Tanzania,The Citizen,HESLB allocates Sh426.5 billion in loans  grants to 135 000 Tanzania students,2025-10-24,No qualified student will be left out  provided they meet the set criteria and follow the correct information channels,https://www.thecitizen.co.tz/tanzania/news/national/heslb-allocates-sh426-5-billion-in-loans-grants-to-135-000-tanzania-students-5243568,,
Tanzania,The Citizen,Attempted mobile money fraud down 10pc,2025-10-24,Fraudulent activities targeting Tanzania’s mobile networks fell by 10 percent in the quarter ending September 2025  according to new statistics,https://www.thecitizen.co.tz/tanzania/news/national/telecom-fraud-attempts-drop-10pc-amid-higher-awareness-5242766,,
Tanzania,The Citizen,Canadian firm completes feasibility study for first Gas-to-Liquid plant,2025-10-27,This follows the completion of a feasibility study by Rocky Mountain GTL  a Canadian technology company renowned for its patented process that converts natural gas into clean liquid fuels faster...,https://www.thecitizen.co.tz/tanzania/business/tanzania-moves-closer-to-building-420-million-gas-to-liquid-plant-to-produce-jet-fuel-and-diesel-locally-5244710,,
Tanzania,The Citizen,Afreximbank honours Prof Oramah as transformative decade ends,2025-10-27,African Export-Import Bank (Afreximbank) has marked the end of Prof Benedict Okey Oramah’s tenure as President and Chairman of the Board of Directors,https://www.thecitizen.co.tz/tanzania/business/afreximbank-honours-prof-oramah-as-transformative-decade-ends-5246810,,
Tanzania,The Citizen,Samia pledges to build an inclusive equitable  Tanzania,2025-10-24,She said her government has invested in strengthening the judiciary,https://www.thecitizen.co.tz/tanzania/news/national/samia-pledges-to-build-an-inclusive-tanzania-5242806,,
Tanzania,The Citizen,Etihad Airways to resume flights to Zanzibar for 2026 summer season,2025-10-28,Zanzibar is set to reconnect with the Middle East’s skies next year  as Etihad Airways announced it will resume direct flights between Abu Dhabi and Zanzibar for the 2026 summer season,https://www.thecitizen.co.tz/tanzania/zanzibar/etihad-airways-to-resume-flights-to-zanzibar-for-2026-summer-season-5247718,,
Tanzania,The Citizen,CRDB  Bpifrance grant Zanzibar Sh115 billion for land management system,2025-10-28,Zanzibar has secured a financing agreement worth EUR 37.5 million (Sh115 billion) from CRDB Bank and Bpifrance to develop a modern Land Administration and Registration Information System (LARIS)...,https://www.thecitizen.co.tz/tanzania/zanzibar/crdb-bpifrance-grant-zanzibar-sh115-billion-for-land-management-system-5247704,,
Tanzania,The Citizen,Salif Keita to headline Sauti za Busara 2026,2025-10-27,The 23rd edition of Sauti za Busara  East Africa’s most celebrated music festival  will return to Stone Town from February 5 to 8  2026  promising another vibrant showcase of Africa’s creative...,https://www.thecitizen.co.tz/tanzania/news/entertainment/salif-keita-to-headline-sauti-za-busara-2026-as-the-festival-celebrates-23-years-of-musical-diversity-5246436,,
Tanzania,The Citizen,Inside Tanga’s FabLab: Where youth turn ideas into innovations,2025-10-27,and practical. Some groups are building low-cost incubators that help poultry farmers hatch eggs locally. Others are developing Black Soldier Fly farming systems that turn organic waste into...,https://www.thecitizen.co.tz/tanzania/supplement/inside-tanga-s-fablab-where-youth-turn-ideas-into-innovations-5246666,,
Tanzania,The Citizen,Malecela urges Tanzanians to safeguard peace ahead of elections,2025-10-27,Retired Prime Minister and First President John Malecela has called on citizens to uphold peace and unity before  during and after voting.,https://www.thecitizen.co.tz/tanzania/news/national/malecela-urges-tanzanians-to-safeguard-peace-ahead-of-polls-5246382,,
Tanzania,The Citizen,Polls: Why businesses are hopeful peace will prevail,2025-10-27,Tanzania’s business community voiced optimism about maintaining operations amid heightened security for Wednesday’s General Election,https://www.thecitizen.co.tz/tanzania/news/national/businesses-voice-confidence-in-election-security-arrangements-5246346,,
Tanzania,The Citizen,Bank of Tanzania boosts forex market liquidity with $15 million injection,2025-10-25,Data from the auction shows that the $15 million offer received an overwhelming interest from market participants  with 26 commercial banks tendering bids worth $34.75 million.,https://www.thecitizen.co.tz/tanzania/business/bank-of-tanzania-boosts-forex-market-liquidity-with-15-million-injection-5243910,,
